MFCC_mean_1,MFCC_mean_2,MFCC_mean_3,MFCC_mean_4,MFCC_mean_5,MFCC_mean_6,MFCC_mean_7,MFCC_mean_8,MFCC_mean_9,MFCC_mean_10,MFCC_mean_11,MFCC_mean_12,MFCC_mean_13,MFCC_mean_14,MFCC_mean_15,MFCC_mean_16,MFCC_mean_17,MFCC_mean_18,MFCC_mean_19,MFCC_mean_20,MFCC_mean_21,MFCC_mean_22,MFCC_mean_23,MFCC_mean_24,MFCC_mean_25,MFCC_mean_26,MFCC_mean_27,MFCC_mean_28,MFCC_mean_29,MFCC_mean_30,MFCC_std_1,MFCC_std_2,MFCC_std_3,MFCC_std_4,MFCC_std_5,MFCC_std_6,MFCC_std_7,MFCC_std_8,MFCC_std_9,MFCC_std_10,MFCC_std_11,MFCC_std_12,MFCC_std_13,MFCC_std_14,MFCC_std_15,MFCC_std_16,MFCC_std_17,MFCC_std_18,MFCC_std_19,MFCC_std_20,MFCC_std_21,MFCC_std_22,MFCC_std_23,MFCC_std_24,MFCC_std_25,MFCC_std_26,MFCC_std_27,MFCC_std_28,MFCC_std_29,MFCC_std_30,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,Chroma_STFT,label
-482.33655,69.74222,-31.690023,-10.188084,-8.086256,-12.630042,-9.545218,10.522535,-1.3509618,-0.33858624,-6.882746,-3.6290824,1.8584594,-1.9599142,0.955287,-0.39658046,4.6195765,4.897103,9.937693,10.746474,7.963271,5.1368594,1.0898308,1.453219,4.6895933,2.4215274,0.24331814,-0.23383304,-2.3699934,0.59338427,132.86783,61.705803,60.871037,35.449574,29.833897,29.732904,20.05384,20.553915,18.219753,14.821795,18.051073,17.59731,10.457515,14.000186,11.449158,13.158218,14.873191,16.73214,15.411382,14.754143,13.167546,11.692319,13.404851,8.210719,9.550313,7.780395,8.817683,8.50051,8.230551,7.2452855,3234.154158411617,3246.117030820749,5655.638345598898,0.09965809,0.023092894,0.41203347,3
-490.71448,12.168694,-59.914722,9.035611,-12.796608,-5.791209,-15.843365,19.454994,1.8704058,-4.8962836,-4.3009663,-7.0852313,-0.94088095,-2.917151,-1.5314717,11.214998,27.813175,19.886986,7.141288,-0.5342601,-7.709901,-4.9954467,-1.5938846,5.9654098,7.4680476,-7.092835,-8.941024,-6.6619287,7.722717,5.869322,93.34869,67.37337,51.869392,45.599888,30.00464,18.875433,25.755005,22.90227,18.5935,17.92472,12.323167,19.639193,16.61297,16.066692,18.248365,21.14097,23.940773,21.376059,19.087215,20.85237,21.67785,17.05038,14.292608,16.098272,14.193892,13.704681,11.482617,13.934567,15.8678055,11.71744,3762.2551300229375,2938.8265920330614,6289.194143343968,0.12219833055394431,0.026998576,0.2713527,3
-529.99835,34.306046,-27.117123,-0.11508993,-19.622536,6.5612736,-3.3554971,0.79595846,0.9424491,4.7698994,-3.0881932,2.0085855,0.58609563,-6.014693,-1.463955,-6.733594,0.5862524,3.5436049,6.9389534,9.111033,10.105042,2.182439,-3.618245,-2.5712888,-1.5055544,2.2250342,2.1946416,2.9567425,1.4466215,-4.0195065,127.07527,47.341503,65.27825,30.8496,27.759527,25.63749,19.693157,17.113874,25.3091,14.698165,37.339596,17.289917,13.869158,11.739927,13.596907,16.12675,12.161164,10.524004,21.424446,18.62213,15.758142,16.983679,17.34548,14.845096,9.850422,13.107825,10.524753,7.795078,10.026667,14.252248,5941.470464526313,4378.373161521607,10273.935864087876,0.250953904,0.020520888,0.3258537,2
-576.7167,44.083893,-9.822116,2.054247,-12.109101,7.0591598,-7.3243694,-1.7046981,-7.2669644,-1.3937343,-1.444776,-1.768545,-5.860185,-2.8892562,-1.0714433,-5.547503,1.0591274,-2.501629,1.9349002,5.401424,7.5681634,2.1575391,0.39264128,2.3461733,-0.91483796,-2.0397127,2.3114433,1.1776034,-0.35745803,-1.2298722,144.02808,56.720848,70.581,45.537987,39.921112,22.638765,21.721277,16.873865,19.85578,10.754004,30.235928,14.270807,16.00845,11.742711,9.326625,14.151743,9.372215,9.79025,13.734268,12.15563,14.5233965,13.089878,13.344004,10.576949,11.103306,6.6210074,9.4416275,6.717141,6.2663393,8.595366,5849.971445105823,4513.734710321536,10013.189258265662,0.2816465160962877,0.01781518,0.39099136,4
-540.83417,22.487011,-53.599075,5.906177,-25.529493,-20.888155,-6.484077,2.1028304,-9.045885,2.410527,-9.200315,-3.6216893,-6.2632513,-10.94682,-2.5043395,-0.1982217,4.1145086,5.445109,13.135879,10.736085,6.6331186,2.8517773,-1.827407,-4.167652,-1.0545218,-2.8889055,2.3699157,-3.0263631,-4.342696,-2.0853727,148.20029,34.185905,78.00325,17.743153,24.981287,27.205044,26.592386,18.215927,15.599125,12.874408,15.48829,18.497835,14.136603,17.423313,19.190908,15.972858,15.208293,17.321358,21.50933,16.749083,21.095192,21.359356,19.688274,15.2224,15.125675,13.766925,13.438705,13.502905,12.555051,12.583363,3808.5624898025085,3797.896206935152,7232.265218098958,0.10524834526909722,0.024589097,0.31719223,3
-503.77994,9.6760645,-69.68237,8.969087,-11.463019,-16.909561,-3.653166,-2.1561582,-3.3608851,3.351858,-6.6643467,-3.7427824,-9.878473,-11.432148,1.4511515,5.209308,8.926732,5.639379,9.539341,7.7527037,0.20423071,0.13415782,-3.5744925,-2.0257857,0.797116,-1.2433511,0.3599763,-5.9170303,-5.0852137,-2.7732613,102.07103,33.54994,66.91209,28.537197,27.611034,21.062017,22.975235,16.468494,18.1292,18.06214,24.048431,13.787359,16.907478,17.859829,15.423218,14.526281,18.00522,18.223888,20.062763,19.020638,20.116018,19.476715,16.664936,11.470266,14.047798,13.052211,12.540844,14.209363,11.855962,12.7770815,3772.6615229607737,3222.511640499591,6679.7395002537705,0.0983156,0.022572652,0.27991876,3
-298.8391,10.043534,-40.35895,-27.15302,-21.218325,-9.207013,-8.624151,-6.9431586,-18.076456,0.00521509,12.301469,12.731735,-3.3850315,-1.8795702,-4.6386237,2.539671,-1.4490578,-3.1319427,1.0513115,0.99375874,0.48977473,5.1248474,-1.6172161,0.83329,0.5606251,1.2570553,-1.984415,-1.942706,-0.65761125,-0.06765287,149.39085,65.32659,47.105633,43.048363,39.186016,25.901274,26.129353,18.385468,27.648338,37.483837,31.406399,30.136717,26.988234,24.697338,19.627775,15.98821,16.589664,13.354106,9.675026,10.159241,13.931414,14.997291,14.133866,10.294294,7.241987,8.127062,8.864986,11.620589,9.861902,6.5921507,1222.5886053534643,693.6924708936198,1919.815340909091,0.21107954545454546,0.061596166,0.26157972,2
-514.9881,49.13929,-26.160444,-30.367472,-9.184466,-4.7550197,-19.935108,-18.827513,-30.96155,-10.613222,-16.388708,-0.54250264,-8.119197,4.388812,-0.6141176,-1.7984684,-3.763172,-6.3483,-4.5130396,-5.0721126,-5.1231217,-3.7147086,-4.598515,-3.1936624,-1.2614517,1.0960553,-0.3083867,1.2718444,-3.251344,-1.2451959,139.47891,59.424816,54.978256,49.30641,36.765564,31.706692,27.44783,19.481516,19.522238,17.498621,22.152586,20.565996,16.211802,19.411549,16.101055,13.688622,13.232424,10.15416,11.030782,8.311693,8.43485,10.170072,9.857254,7.6492515,7.6125417,8.098316,9.127096,10.035213,7.35098,6.7610493,1401.1901587988382,844.9425994493279,2288.1392045454545,0.30619229403409093,0.005672762,0.2991318,2
-490.96317,14.036147,-11.487066,-18.543446,-9.767941,-0.7384557,-7.0437474,-3.1050873,-20.610735,-0.68902194,-15.489796,-7.208438,-11.042375,-1.3101509,-7.4102073,-5.0485034,-7.5778565,-6.927744,-5.1739984,-8.056805,-3.6020145,1.0898231,-2.6808577,0.83265555,0.47610113,3.5630984,1.8196106,2.8271935,-1.4814396,0.6466689,195.26804,63.545273,60.845905,31.901651,23.401958,21.810291,15.624062,15.226895,11.879737,14.377468,14.990335,17.808273,17.93102,18.63928,18.731398,20.630072,16.754019,15.674255,11.039241,11.43301,8.747529,11.278949,12.298467,9.742881,10.498904,6.963102,9.836089,11.736554,14.997196,8.894611,1600.5913422936057,897.1444573460028,2463.7073863636365,0.3193936434659091,0.006715606,0.32424405,4
-370.3333,-23.01847,-19.116621,-13.009428,-11.779711,2.9983807,-10.282293,0.3492089,-3.955305,2.088214,-11.570102,4.442034,8.766909,15.621746,0.70650244,-5.869104,-3.3807292,3.5983791,-4.402585,-4.1661,0.102920204,0.6928974,-4.0579805,2.9320436,3.395721,3.9509401,2.5369859,1.1825025,-2.5006661,1.928892,198.99261,54.992317,43.376247,32.8078,28.471426,23.921654,18.56988,13.551871,14.850283,9.270304,14.740989,15.666761,21.006685,21.410236,21.827478,19.462605,13.404832,14.334645,12.407856,12.890142,14.432728,12.939286,16.29354,14.94557,8.660932,8.271964,13.243055,17.773466,13.561969,11.080695,1695.7743784814734,845.4325725,2636.434659090909,0.31623757102272726,0.03084608,0.2958737,2
