0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
-522.7831,32.955013,-12.85704,-14.923715,-21.521914,-6.6461782,-11.17508,-3.661926,-12.482621,-6.195956,-6.933281,-0.78481966,0.44578,-1.9621283,-5.941694,-4.9076943,-1.3418847,0.43959546,-4.0487447,-0.3907215,1.001393,0.43157974,1.3714983,6.0005794,2.9431698,2.7046447,0.021596873,-2.005007,2.7541099,-0.39332652,198.92879,76.41303,48.420116,34.507023,29.122341,40.81749,22.436348,15.2106695,16.287664,13.2767725,13.145965,16.79008,16.05866,12.913322,13.329328,8.802547,9.622284,9.719783,10.596229,9.227939,8.588227,9.29949,11.479714,11.327647,7.1780305,6.674348,9.820262,11.571221,8.845353,7.846421,1340.6435316117565,792.8778077587282,2133.700284090909,0.26190962357954545,0.01214029,0.31882596
-361.38208,19.98414,-29.424196,-36.916576,-38.16297,4.5904694,-11.438613,-3.902679,-10.749191,-0.03062152,-1.9633608,4.537133,11.577578,4.554468,-0.97798043,-6.0889516,-6.00079,1.2004117,-5.824915,-0.4535863,-1.6305256,0.3462397,0.41515845,6.958172,2.667587,4.47934,0.717912,-0.9092716,-0.94870263,-0.78616256,215.40485,56.449753,37.3299,41.938725,53.10818,19.697695,23.991898,28.41915,18.2327,19.56919,17.905617,18.014233,19.478907,17.513815,13.997569,13.25644,10.547613,9.538691,10.043082,9.04087,9.516257,11.720214,13.042193,12.419242,9.930815,8.333291,11.21993,11.163345,8.679372,6.3635917,1303.4882270540602,793.3969892441402,2129.7585227272725,0.2276278409090909,0.041562364,0.3373558
-289.31082,7.259498,-46.700233,-29.854517,-24.16238,17.221165,-20.757116,-7.538645,-7.9137545,-1.2137412,-1.7697554,3.1538591,14.774073,10.0231,-0.19389822,-4.842027,-5.359786,1.0747411,-8.278825,0.5222567,-1.7763174,-0.5560779,0.37897235,6.8849363,1.989661,5.286258,-0.44538823,0.3073644,0.7346038,-0.7114729,168.84772,69.988,41.79853,52.983307,53.690605,26.151777,23.373043,32.927174,16.708582,18.118092,16.246666,19.134123,20.429274,20.3243,21.089426,14.008305,13.687399,12.156321,10.116262,10.30902,8.924113,12.3588505,15.547244,16.257318,9.9865055,8.3841915,11.455525,15.191665,9.911859,8.881213,1446.1930559572804,701.4013884107173,2201.065340909091,0.28751331676136366,0.049916543,0.28160563
-424.88016,34.52652,-51.505688,2.2790945,-13.415318,2.7694354,-20.461573,-12.982911,-8.822285,1.2920215,-5.719909,-5.441045,2.9298255,4.830005,6.527963,5.92535,2.339273,-0.7459562,0.8088935,-0.40495786,-2.5549946,-2.8414574,-1.5438342,-4.575363,-0.5193564,-3.1656053,-0.3999547,-0.7234618,-0.55626947,1.9369994,148.87236,57.430042,67.97695,35.73739,40.961018,29.839924,25.780256,18.122244,18.54337,20.532497,19.965757,20.21815,16.5901,21.464508,21.168554,22.12889,16.762531,18.752392,19.183245,16.929482,14.531301,13.378605,11.817957,14.2504015,13.682723,14.374223,12.629037,13.282155,12.144382,9.995665,4050.1754280860964,2191.9702454537482,5770.797815055491,0.1496479355286215,0.06676111,0.25229746
-409.02234,17.720907,-67.44611,6.3242674,-7.327164,12.815076,-11.242724,-5.2898827,-10.984166,1.4564232,-2.0379345,-9.444094,-2.6653426,2.191047,7.3957014,4.4196935,-3.3254685,-0.13179505,2.4459925,-2.2890966,-1.9108909,-3.4424899,2.0220408,-1.9252639,1.3223213,-5.514148,-2.5447967,0.98072076,-1.1451513,2.6622016,142.51482,48.26275,70.43715,49.236725,44.600555,44.23534,30.01225,25.158527,26.819355,19.46753,21.93678,18.629068,17.945848,16.329054,15.688237,20.461908,20.14712,13.726964,12.3164215,16.608418,12.158878,11.816033,11.518735,13.351388,11.994231,12.560497,11.260802,13.551444,10.590077,9.935064,3086.907846481092,1766.667135304082,4484.002274869489,0.108384842662413,0.08885495,0.23754916
-531.2232,44.523685,-28.459932,-20.534208,-32.98902,-4.466482,-11.243819,-1.043084,-1.496961,3.6325457,-6.3681912,-3.546982,-4.228813,-8.765569,0.53477263,-3.3462803,-0.04633772,6.4279494,2.2633417,4.028969,3.930139,2.64158,3.3890624,0.19606885,-1.352272,-1.4403892,1.2322392,-2.0890567,-1.3413126,-2.0981596,117.61099,54.60643,49.75537,33.739296,37.98457,24.367397,29.426163,25.204607,26.284855,17.90176,19.29373,13.364324,15.631556,21.309103,14.564221,14.569069,15.55786,16.607033,20.432837,15.806712,16.195627,13.721432,14.436631,19.625134,15.565143,10.553526,10.2404785,9.6243105,13.87501,11.106582,3365.4054505438717,2384.468753453205,5758.008492241879,0.11551986658932714,0.017434865,0.22668497
-525.45325,18.999369,-25.203537,4.3840775,-3.9557626,-11.183477,-4.3476133,-3.3527007,-8.982472,2.210125,2.1872957,-6.493675,-1.2130735,3.7358775,8.601067,11.262756,10.955753,8.637603,3.6790414,-3.1760552,-3.4935527,-0.6323296,-0.96852964,-2.088493,-5.9373837,-6.7925415,1.6009231,3.852743,-1.1997303,0.17525136,73.89434,25.040777,39.149338,15.477149,20.3349,17.205103,13.039914,16.282024,17.054113,13.432699,8.178065,18.208681,13.800779,18.754501,19.60498,16.401491,15.365945,21.748297,22.344791,19.44914,9.756128,13.08024,14.502305,14.97878,12.817301,15.036863,12.462946,19.143785,13.591414,14.528985,1463.5597990341387,1265.7569325653924,2447.790612311485,0.051278594475058004,0.022517147,0.15434228
-506.0939,44.97247,-29.120327,3.4865077,-3.8112342,-20.125084,-6.5420685,-11.491701,-11.296977,8.720111,7.7323694,0.2968855,-0.22195725,-3.0472703,-4.0443983,-9.1206455,-9.115977,-3.1448317,-3.9633882,2.1302328,10.837588,11.406766,13.521992,10.629171,1.9723351,2.4295597,2.946502,-3.2041175,-1.7644337,0.34526682,73.213936,34.319542,46.96892,28.62514,25.86795,25.037231,18.682327,18.192488,16.657955,19.104008,21.251915,16.517088,17.241291,18.327908,12.522136,13.032108,12.855122,14.213206,16.914227,19.586699,25.604862,18.374561,15.96743,16.309233,18.79154,20.490374,14.347403,16.584227,13.190642,10.944386,2182.5330959670378,1974.6321070754643,3730.040399325696,0.07402049195185614,0.026769591,0.23582582
-472.45724,30.718409,-21.308113,8.06595,-29.85285,-4.2903466,-12.469354,-9.480344,2.030797,-3.963627,2.058733,0.62075263,-1.5182036,-0.25752473,-2.8606212,8.659654,-2.5919616,3.8544528,-0.38101473,-2.9602098,-1.0501347,-4.7157197,2.5089653,-2.620474,-0.10352688,-3.2805848,0.3661014,-2.1701946,0.043097164,0.5442344,141.03912,40.212486,57.193615,23.698486,39.959045,41.810833,25.625174,22.965645,27.530653,16.050203,13.2501135,17.84159,18.313559,15.81846,15.25565,20.51099,18.316475,12.3745,11.580578,8.022628,8.258274,10.791462,11.992666,10.490989,10.150232,9.754016,8.497169,8.704072,6.0974026,7.9076037,6666.677961093974,3433.1548840529567,9691.04054886891,0.2788935614849188,0.033597212,0.30518758
-511.8702,38.148598,-18.90782,8.202838,-20.443481,2.0780587,0.7396611,-5.165991,2.015884,-0.23815097,2.9686277,-0.78395844,-4.7663116,1.8510418,-4.8378806,3.1706815,1.8216754,3.5282393,0.42585403,-1.7189294,3.2293823,-1.7196827,0.39086163,-3.2674835,-1.2155443,0.2247872,0.62220377,-0.40948954,0.6261659,0.4247812,138.36606,50.68206,54.233833,34.567955,41.451756,25.066027,20.264015,22.054976,11.594926,16.729485,11.509436,15.258829,16.464014,13.759229,18.91467,15.649316,14.091749,14.11822,12.527951,11.103093,13.848948,12.350248,10.188702,10.118265,7.7878623,10.331703,8.224853,10.297414,11.205326,6.3271523,5977.73166884375,3872.659757906315,9659.06549086427,0.23315373042343387,0.020256737,0.3727282
-538.1631,10.30825,-61.132263,-13.427257,-33.017998,0.65213895,-23.63087,-0.43195233,-5.727324,-3.578235,-15.262631,4.8015766,-2.169507,-1.886551,0.8143574,-9.903104,-4.290784,1.9190848,6.099556,6.2966733,4.7340107,6.1725025,5.3194466,7.193624,3.4581404,-0.54044753,-5.550481,-4.4432487,-1.6380998,-1.214503,161.27281,44.862694,54.875916,23.790257,28.367989,24.284985,26.530975,16.581055,29.630745,19.081394,24.727768,14.98514,21.156218,15.832554,17.814219,20.2726,13.829411,20.511703,20.950298,21.954046,19.544933,17.304195,19.140007,21.269846,16.7961,16.135788,15.630626,15.09268,13.61204,11.887385,3761.7254618803277,2618.7390728434357,6536.301388486079,0.11866480568445475,0.0143925715,0.22465275
-439.56906,6.893847,-18.666353,1.8163693,-18.619616,2.648524,1.6157122,-14.936216,-12.180976,-15.403332,-4.0013533,1.8543999,-1.6574041,-9.556139,-11.457044,-4.789687,-5.009541,-4.9304514,-3.5315905,-0.5761179,-2.0615926,2.4792945,1.9818693,-1.3344041,-2.311745,-2.7209527,-2.6727142,0.31145072,-1.3652995,0.44850978,154.42387,74.235016,56.461845,38.341522,38.46897,25.19048,18.40794,22.235437,24.357368,30.818632,30.131008,26.971548,24.080673,17.526741,20.10413,15.720903,14.71024,15.181275,11.990022,9.242758,13.605805,17.050503,17.052975,10.692132,8.198117,10.073425,10.363104,12.020692,11.586269,8.013345,1422.4828880516407,714.815736845048,2035.4758522727273,0.2955166903409091,0.020407872,0.2999896
